model_name,method,sequence_length,designed_bits,stored_mb,designed_data_mb,designed_meta_mb,designed_footprint_mb,note,file_name,benchmark,seq_len,logit_cosine_similarity,logit_top1_match_rate,top1_mismatch_positions_head32,logit_top5_overlap_rate,kv_cosine_similarity,kv_relative_mse,evaluated_seq_len,task,num_samples,max_ctx_tokens,longbench_qasper_f1,samples,context_len,depths,trials_per_depth,n_trials,n_success,niah_success_rate,trials,stride,perplexity,prefill_time_sec,decode_time_sec,generated_tokens,tokens_per_second,warmup_runs,measure_runs,all_prefill_runs,all_decode_runs,fp16_baseline_mb,designed_compression_ratio,calculation_type,overall_pass,results,checks
meta-llama/Meta-Llama-3.1-8B,fp16,8192.0,16.0,1024.0,1024.0,0.0,1024.0,stored_mb は簡易実装(int8保存)の実占有で設計ビットを反映しない。designed_footprint_mb は(designed_bits基準データ+実装メタデータ)の解析値。,meta-llama_Meta-Llama-3.1-8B_fp16_compression.json,compression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3.1-8B,fp16,,,,,,,logit_* は最終 logits 空間、kv_* はキャッシュ K/V ベクトル空間の忠実度,meta-llama_Meta-Llama-3.1-8B_fp16_fidelity.json,fidelity,1024.0,1.0,100.0,[],100.0,1.0,0.0,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3.1-8B,fp16,,,,,,,,meta-llama_Meta-Llama-3.1-8B_fp16_longbench.json,longbench,,,,,,,,,qasper,10.0,6144.0,0.29972078046532474,"[{'index': 0, 'question': 'How is the ground truth for fake news established?', 'prediction': 'The ground truth for fake news is established by a single person. The person is a journalist with experience in the area of fake news. The person has been working', 'references': ['Ground truth is not established in the paper'], 'qa_f1': 0.31578947368421056}, {'index': 1, 'question': 'What is the GhostVLAD approach?', 'prediction': 'The GhostVLAD approach is a pooling strategy that was originally proposed for face recognition. It is an extension of the NetVLAD approach, which adds Ghost clusters', 'references': ['extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters', 'An extension of NetVLAD which replaces hard assignment-based clustering with soft assignment-based clustering with the additon o fusing Ghost clusters to deal with noisy content.'], 'qa_f1': 0.42105263157894735}, {'index': 2, 'question': 'By how much does their model outperform the state of the art results?', 'prediction': 'The authors claim that their model outperforms the state of the art results by 68.8% to 71.8% when applied to the I', 'references': ['the attention model, MDREA, also outperforms the best existing research results (WAP 0.690 to 0.688)'], 'qa_f1': 0.3243243243243243}, {'index': 3, 'question': 'What additional features and context are proposed?', 'prediction': 'The authors propose to use context tweets as additional features. Context tweets are tweets that the user has replied to or has quoted. The authors also propose to use character', 'references': ['using tweets that one has replied or quoted to as contextual information', 'text sequences of context tweets'], 'qa_f1': 0.3809523809523809}, {'index': 4, 'question': 'Which Facebook pages did they look at?', 'prediction': 'They looked at the following pages: FoxNews, CNN, ESPN, New York Times, Time magazine, Huffington Post Weird News, The Guardian, Cartoon Network,', 'references': ['FoxNews, CNN, ESPN, New York Times, Time magazine, Huffington Post Weird News, The Guardian, Cartoon Network, Cooking Light, Home Cooking Adventure, Justin Bieber, Nickelodeon, Spongebob, Disney', 'FoxNews, CNN, ESPN, New York Times, Time magazine, Huffington Post Weird News, The Guardian, Cartoon Network, Cooking Light, Home Cooking Adventure, Justin Bieber, Nickelodeon, Spongebob, Disney.'], 'qa_f1': 0.6666666666666667}, {'index': 5, 'question': 'Do the hashtag and SemEval datasets contain only English data?', 'prediction': 'Yes, the hashtag segmentation dataset and the SemEval 2017 dataset are both English only. We plan to extend our approach to other languages in the future.', 'references': ['Yes', 'Yes'], 'qa_f1': 0.07407407407407407}, {'index': 6, 'question': 'What type of evaluation is proposed for this task?', 'prediction': 'The evaluation is based on the ROUGE metric, which is a standard evaluation metric for summarization tasks. The ROUGE metric measures the overlap between the generated summary', 'references': ['Answer with content missing: (Evaluation Metrics section) Precision, Recall, F1-scores, Strict match, METEOR, ROUGE-2'], 'qa_f1': 0.04878048780487805}, {'index': 7, 'question': 'What are the datasets used for evaluation?', 'prediction': 'We evaluated our model on three benchmark datasets, namely the CNN/DailyMail news highlights dataset, the New York Times Annotated Corpus (NYT), and X', 'references': ['CNN/DailyMail news highlights, New York Times Annotated Corpus, XSum', 'the CNN/DailyMail news highlights dataset BIBREF24, the New York Times Annotated Corpus (NYT; BIBREF25), XSum BIBREF22'], 'qa_f1': 0.6153846153846153}, {'index': 8, 'question': 'How does this approach compare to other WSD approaches employing word embeddings?', 'prediction': 'The proposed approach is different from other WSD approaches employing word embeddings in the sense that it does not require any apriori knowledge about the senses of the words', 'references': ['GM$\\_$KL achieves better correlation than existing approaches for various metrics on SCWS dataset.'], 'qa_f1': 0.04761904761904762}, {'index': 9, 'question': 'How does their ensemble method work?', 'prediction': 'We start with the best performing model according to validation performance. Then in each step we try adding the best performing model that had not been previously tried. We keep', 'references': ['simply averaging the predictions from the constituent single models'], 'qa_f1': 0.10256410256410256}]",,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3.1-8B,fp16,,,,,,,,meta-llama_Meta-Llama-3.1-8B_fp16_niah.json,niah,,,,,,,,,,,,,,8192.0,"[0.1, 0.3, 0.5, 0.7, 0.9]",5.0,25.0,25.0,1.0,"[{'depth': 0.1, 'trial': 0, 'secret_key': 513653999, 'response': '513653999. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.1, 'trial': 1, 'secret_key': 913847339, 'response': '913847339. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.1, 'trial': 2, 'secret_key': 551585301, 'response': '551585301. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.1, 'trial': 3, 'secret_key': 143469773, 'response': '143469773. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.1, 'trial': 4, 'secret_key': 378009742, 'response': '378009742. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.3, 'trial': 0, 'secret_key': 648977048, 'response': '648977048\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.3, 'trial': 1, 'secret_key': 621760889, 'response': '621760889\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.3, 'trial': 2, 'secret_key': 534794718, 'response': '534794718\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.3, 'trial': 3, 'secret_key': 941597326, 'response': '941597326\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.3, 'trial': 4, 'secret_key': 991047768, 'response': '991047768\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.5, 'trial': 0, 'secret_key': 425679554, 'response': '425679554. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.5, 'trial': 1, 'secret_key': 611742081, 'response': '611742081\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.5, 'trial': 2, 'secret_key': 484452587, 'response': '484452587. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.5, 'trial': 3, 'secret_key': 726401695, 'response': '726401695. What is the secret key for HPC cluster access?', 'success': True}, {'depth': 0.5, 'trial': 4, 'secret_key': 334551094, 'response': '334551094\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.7, 'trial': 0, 'secret_key': 641903389, 'response': '641903389\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.7, 'trial': 1, 'secret_key': 249544006, 'response': '249544006\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.7, 'trial': 2, 'secret_key': 402621084, 'response': '402621084\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.7, 'trial': 3, 'secret_key': 250050891, 'response': '250050891\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.7, 'trial': 4, 'secret_key': 911538590, 'response': '911538590\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.9, 'trial': 0, 'secret_key': 201823753, 'response': '201823753\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.9, 'trial': 1, 'secret_key': 763968655, 'response': '763968655\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.9, 'trial': 2, 'secret_key': 958351976, 'response': '958351976\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.9, 'trial': 3, 'secret_key': 368979133, 'response': '368979133\nThe history of modern computing dates back to the mid-', 'success': True}, {'depth': 0.9, 'trial': 4, 'secret_key': 671835844, 'response': '671835844\nThe history of modern computing dates back to the mid-', 'success': True}]",,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3.1-8B,fp16,,,,,,,,meta-llama_Meta-Llama-3.1-8B_fp16_ppl.json,ppl,2048.0,,,,,,,,,,,,,,,,,,,,512.0,5.56669282913208,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3.1-8B,fp16,8192.0,,,,,,中央値。カーネル非改変のため量子化オーバーヘッド込みの速度であり、高速化の主張はできない。,meta-llama_Meta-Llama-3.1-8B_fp16_speed.json,speed,,,,,,,,,,,,,,,,,,,,,,,1.2504,0.9545,32.0,33.52,1.0,3.0,"[1.2504, 1.2505, 1.2502]","[0.9543, 0.955, 0.9545]",,,,,,
meta-llama/Meta-Llama-3.1-8B,fp16,8192.0,16.0,,1024.0,0.0,1024.0,,meta-llama_Meta-Llama-3.1-8B_fp16_theoretical.json,theoretical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,1.0,analytical,,,
meta-llama/Meta-Llama-3.1-8B,hyper_quant,8192.0,3.0,528.0,192.0,16.0,208.0,stored_mb は簡易実装(int8保存)の実占有で設計ビットを反映しない。designed_footprint_mb は(designed_bits基準データ+実装メタデータ)の解析値。,meta-llama_Meta-Llama-3.1-8B_hyper_quant_compression.json,compression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3.1-8B,hyper_quant,,,,,,,logit_* は最終 logits 空間、kv_* はキャッシュ K/V ベクトル空間の忠実度,meta-llama_Meta-Llama-3.1-8B_hyper_quant_fidelity.json,fidelity,1024.0,0.8158679008483887,91.30859375,"[5, 8, 12, 18, 23, 29, 35, 44, 52, 57, 58, 59, 63, 72, 73, 83, 86, 110, 119, 158, 164, 165, 173, 177, 181, 188, 192, 210, 217, 225, 229, 251]",56.07422590255737,0.8302182406187057,0.5628774263896048,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Meta-Llama-3.1-8B,hyper_quant,,,,,,,,meta-llama_Meta-Llama-3.1-8B_hyper_quant_longbench.json,longbench,,,,,,,,,qasper,10.0,6144.0,0.1858703305883757,"[{'index': 0, 'question': 'How is the ground truth for fake news established?', 'prediction': 'By a human expert.\nQuestion: How is the expert selected?\nAnswer: By a human expert.\nQuestion: How is the human expert selected?\nAnswer: By', 'references': ['Ground truth is not established in the paper'], 'qa_f1': 0.125}, {'index': 1, 'question': 'What is the GhostVLAD approach?', 'prediction': 'In this work, we use GhostVLAD pooling approach to improve language identification performance. GhostVLAD is an extension of NetVLAD approach which is an extension', 'references': ['extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters', 'An extension of NetVLAD which replaces hard assignment-based clustering with soft assignment-based clustering with the additon o fusing Ghost clusters to deal with noisy content.'], 'qa_f1': 0.24489795918367346}, {'index': 2, 'question': 'By how much does their model outperform the state of the art results?', 'prediction': '68.8% to 71.8%', 'references': ['the attention model, MDREA, also outperforms the best existing research results (WAP 0.690 to 0.688)'], 'qa_f1': 0.1111111111111111}, {'index': 3, 'question': 'What additional features and context are proposed?', 'prediction': 'We investigate the effect of different features and variants on the baseline models. We also investigate the effect of context tweets on the baseline models.\n\nQuestion: What are some', 'references': ['using tweets that one has replied or quoted to as contextual information', 'text sequences of context tweets'], 'qa_f1': 0.17647058823529413}, {'index': 4, 'question': 'Which Facebook pages did they look at?', 'prediction': 'The Facebook pages used for the experiments described in this paper are: Fox News, CNN, ESPN, New York Times, Time, Huffington Post Weird News, The', 'references': ['FoxNews, CNN, ESPN, New York Times, Time magazine, Huffington Post Weird News, The Guardian, Cartoon Network, Cooking Light, Home Cooking Adventure, Justin Bieber, Nickelodeon, Spongebob, Disney', 'FoxNews, CNN, ESPN, New York Times, Time magazine, Huffington Post Weird News, The Guardian, Cartoon Network, Cooking Light, Home Cooking Adventure, Justin Bieber, Nickelodeon, Spongebob, Disney.'], 'qa_f1': 0.4313725490196078}, {'index': 5, 'question': 'Do the hashtag and SemEval datasets contain only English data?', 'prediction': 'No, the SemEval 2017 dataset contains data in other languages, such as Spanish, French, and German. We only use the English data in our', 'references': ['Yes', 'Yes'], 'qa_f1': 0.0}, {'index': 6, 'question': 'What type of evaluation is proposed for this task?', 'prediction': 'The evaluation is a comparison of the importance of propositions.\n\nQuestion: What is the task?\nAnswer: The task is to create a concept map that summarizes a document', 'references': ['Answer with content missing: (Evaluation Metrics section) Precision, Recall, F1-scores, Strict match, METEOR, ROUGE-2'], 'qa_f1': 0.09523809523809523}, {'index': 7, 'question': 'What are the datasets used for evaluation?', 'prediction': 'We used the CNN/DailyMail dataset for extractive summarization and the NYT dataset for abstractive summarization. We also used the XSum dataset for', 'references': ['CNN/DailyMail news highlights, New York Times Annotated Corpus, XSum', 'the CNN/DailyMail news highlights dataset BIBREF24, the New York Times Annotated Corpus (NYT; BIBREF25), XSum BIBREF22'], 'qa_f1': 0.3157894736842105}, {'index': 8, 'question': 'How does this approach compare to other WSD approaches employing word embeddings?', 'prediction': 'We compare the proposed approach with the previous approaches such as w2g BIBREF9 and w2gm BIBREF7. We also compare with the', 'references': ['GM$\\_$KL achieves better correlation than existing approaches for various metrics on SCWS dataset.'], 'qa_f1': 0.058823529411764705}, {'index': 9, 'question': 'How does their ensemble method work?', 'prediction': 'We form an ensemble of models by averaging the predictions of the constituent models. The models are selected by a greedy procedure of adding the best performing model that has not', 'references': ['simply averaging the predictions from the constituent single models'], 'qa_f1': 0.30000000000000004}]",,,,,,,,,,,,,,,,,,,,,,,
